0,0,4354
3.947,0,4252
7.894,0,4467
11.841,0,4756
15.788,0,4942
19.735,0,5315
23.682,0,5117
27.629,0,5343
31.576,0,5102
35.523,0,5096
39.47,0,4875
43.417,0,4802
47.364,0,5056
51.311,0,4618
55.258,0,4673
59.205,0,4862
63.152,0,4859
67.099,0,4795
71.046,0,4337
74.993,0,3921
0,3.947,4423
3.947,3.947,4293
7.894,3.947,4434
11.841,3.947,4751
15.788,3.947,4920
19.735,3.947,4904
23.682,3.947,5088
27.629,3.947,5125
31.576,3.947,5478
35.523,3.947,4685
39.47,3.947,4995
43.417,3.947,5120
47.364,3.947,4632
51.311,3.947,4797
55.258,3.947,5174
59.205,3.947,4796
63.152,3.947,4765
67.099,3.947,4852
71.046,3.947,4555
74.993,3.947,3967
0,7.894,4315
3.947,7.894,4450
7.894,7.894,4712
11.841,7.894,4656
15.788,7.894,5141
19.735,7.894,4920
23.682,7.894,4969
27.629,7.894,4759
31.576,7.894,5374
35.523,7.894,4967
39.47,7.894,4927
43.417,7.894,4987
47.364,7.894,4790
51.311,7.894,4800
55.258,7.894,4798
59.205,7.894,4878
63.152,7.894,4595
67.099,7.894,4494
71.046,7.894,4380
74.993,7.894,3681
0,11.841,4309
3.947,11.841,4654
7.894,11.841,4413
11.841,11.841,4472
15.788,11.841,4522
19.735,11.841,4567
23.682,11.841,4747
27.629,11.841,4876
31.576,11.841,4786
35.523,11.841,4803
39.47,11.841,5130
43.417,11.841,4805
47.364,11.841,4933
51.311,11.841,4430
55.258,11.841,4725
59.205,11.841,4891
63.152,11.841,4403
67.099,11.841,4233
71.046,11.841,4171
74.993,11.841,3918
0,15.788,4157
3.947,15.788,4064
7.894,15.788,4594
11.841,15.788,4360
15.788,15.788,4495
19.735,15.788,4798
23.682,15.788,4718
27.629,15.788,4847
31.576,15.788,4865
35.523,15.788,4498
39.47,15.788,4703
43.417,15.788,4744
47.364,15.788,4612
51.311,15.788,4526
55.258,15.788,4756
59.205,15.788,4632
63.152,15.788,4453
67.099,15.788,4330
71.046,15.788,3883
74.993,15.788,3535
0,19.735,4266
3.947,19.735,4147
7.894,19.735,4262
11.841,19.735,4225
15.788,19.735,4461
19.735,19.735,4664
23.682,19.735,4556
27.629,19.735,4610
31.576,19.735,4482
35.523,19.735,4759
